Study.Name	PlotOrder	Inclusion	HA.Analysis	RA.Analysis	Study.Number	Short.Citation	from Blaustein?	Host.Species	Host.Collection.Location	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.Cont.mortality
Alytes obstetricans.10a	A	Yes	N	Y	10a	Greener et al. 2020 Nature	N	Alytes obstetricans	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	low mortality	100% mortality	16.66666667	6	100	6	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Alytes obstetricans.10b	B	Yes	N	Y	10b	Greener et al. 2020 Nature	N	Alytes obstetricans	"Flanders, Belgium"	Local Bd-GPL collected from Ichthyosaura alpestris (BdBE3)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	100% mortality	0	6	100	6	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Alytes obstetricans.10c	C	Yes	N	Y	10c	Greener et al. 2020 Nature	N	Alytes obstetricans	"Flanders, Belgium"	Local Bd-GPL collected from R. catesbeiana (BdBE4)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	100% mortality	0	6	100	6	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Alytes obstetricans.10d	D	Yes	N	Y	10d	Greener et al. 2020 Nature	N	Alytes obstetricans	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE5)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	100% mortality	0	6	100	6	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Anaxyrus americanus.11a	E	Yes	N	Y	11a	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01	Bd-GPL	JEL213	"Sierra Nevada, USA [JEL 213]"	Bd-GPL	Sierra. Nevadas	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	72.5	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
Anaxyrus americanus.11b	F	Yes	N	Y	11b	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01	Bd-GPL	JEL404	Maine JEL 404	Bd-GPL	Maine USA	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	74.91071	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
Anaxyrus americanus.11c	G	Yes	N	Y	11c	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01	Bd-GPL	JEL423	El Cope JEL 423	Bd-GPL	El Cope Panama	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	79.73214	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
Anaxyrus americanus.12a	H	Yes	N	Y	12a	Gahl et al. 2012 Conservation Biology	Y	Anaxyrus americanus	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	"increased mortality, 100"	"increased mortality, 100"	100	40	100	40	NA	terrestrial	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	62.73
Anaxyrus boreas.13a	I	Yes	N	Y	13a	Dang et al. 2017 DAO	Y	Anaxyrus boreas	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	OR Bd had no effect on survival	"Maine Bd had no effect on survival, Panama Bd increased mortality by factor of 2.21 and had significantly higher loads compared to all other treatments"	39.5683453	30	60.5755396	30	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	32.95
Anaxyrus boreas.13b	J	Yes	N	Y	13b	Dang et al. 2017 DAO	Y	Anaxyrus boreas	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	OR Bd had no effect on survival	CA Bd increased mortality by factor of 2.5	39.5683453	30	60.28777	29	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	32.95
Bufo bufo.2a	K	Yes	N	Y	2a	Meurling et al. 2021 Biorxiv	N	Bufo bufo	Southern Sweden (Skåne county)	SWED-40-5	Bd-GPL	Southern Sweden (isolated from Bufotes viridis)	UKMal 01	Bd-GPL	UK	moderate mortality	low mortality	33.3	21	10.5	19	NA	terrestrial	"aquatic, tadpole"	metamorph	6 x 10^4 for 5h		No	0
Bufo bufo.14	L	Yes	N	Y	14	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	UKTvB	Bd-GPL	UK	IA042	Bd-GPL	Spain	"Yes, mortality"	"Yes, mortality"	75.7	80	68.5	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	"comparison of GPL to CAPE, high +low exposure"	Yes	32
Physalaemus fernandezae.15	M	Yes	N	Y	15	Arellano et al. 2017 The Herpetological Journal	N	Physalaemus fernandezae	Argentina (Buenos Aires province)	MLA1	Bd-GPL	Argentina	JEL423	Bd-GPL	Panama	high mortality	high mortality	100	10	100	10	NA	terrestrial	"aquatic, tadpole"	larvae	4ml of 4x10^6 zsp/ml inoculum for consecutive days	4ml of 4x10^6 zsp/ml inoculum added to 56 ml of water for three consecutive days for final conc. Of 6x10^4 zsp/ml per container	No	0
Pseudacris regilla.13c	N	Yes	N	Y	13c	Dang et al. 2017 DAO	Y	Pseudacris regilla	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	"No effect on survival, no difference in pathogen load among strains"	"No effect on survival, no difference in pathogen load among strains"	0	16	14.0248963	15	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		No	0
Pseudacris regilla.13d	O	Yes	N	Y	13d	Dang et al. 2017 DAO	Y	Pseudacris regilla	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	"No effect on survival, no difference in pathogen load among strains"		0	16	7.717842	14	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		No	0
Rana cascadae.13e	P	Yes	N	Y	13e	Dang et al. 2017 DAO	Y	Rana cascadae	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	"No effect on survival, no difference in pathogen load among strains"	"No effect on survival, no difference in pathogen load among strains"	20.6425703	24	8.7550201	24	NA	semi-aquatic	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	6.5060241
Rana cascadae.13f	Q	Yes	N	Y	13f	Dang et al. 2017 DAO	Y	Rana cascadae	United States (Cascades Range of Oregon)	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	"No effect on survival, no difference in pathogen load among strains"		20.6425703	24	3.614458	23	NA	semi-aquatic	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	6.5060241
