Initials	Inclusion	Location.Analysis	Genotype.Analysis	Location.GPLGPL	Study.Name	NEW.IDNum	ID.Num	Study.Name.strains	Shortcitation	from Blaustein?	Host.Species	Host.Collection.Location	Strain.Combo	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.mortality
AMB	Yes	N	Y	N	Alytes muletensis.4	4	4	Alytes muletensisTF5a1-UKTvB	Doddington et al. 2013 Ecology	Y	Alytes muletensis	Mallorca	TF5a1-UKTvB	TF5a1	Bd-Cape	Mallorca	UKTvB	Bd-GPL	mainland Iberia	"hypovirulent, but increased mortality relative to control (~25 mortality), avg load ~275"	"significantly greater mortality than local Bd and than control (~80 mortality), avg load ~1994"	34.61538462	26	73.07692308	26	Yes	terrestrial	"aquatic, tadpole"	"exposed as larvae, allowed to metamorphose"	"cumulative exposure of 23,000 zoospores over two weeks"		Yes	15.4
MCB	No	Y	N	Y	Ambystoma laterale.			Ambystoma lateraleJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Ambystoma laterale	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	7	0	7	NA	terrestrial	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
MCB	Yes	Y	N	Y	Anaxyrus americanus.2a	10a	2a	Anaxyrus americanusJSOH 01JEL213	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01JEL213	JSOH 01	Bd-GPL	JEL213	"Sierra Nevada, USA [JEL 213]"	Bd-GPL	Sierra. Nevadas	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	72.5	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
MCB	Yes	Y	N	Y	Anaxyrus americanus.2b	10b	2b	Anaxyrus americanusJSOH 01JEL404	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01JEL404	JSOH 01	Bd-GPL	JEL404	Maine JEL 404	Bd-GPL	Maine USA	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	74.91071	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
MCB	Yes	Y	N	Y	Anaxyrus americanus.2c	10c	2c	Anaxyrus americanusJSOH 01JEL423	Burrow et al. 2017 EcoEvo	N	Anaxyrus americanus	Ohio	JSOH 01JEL423	JSOH 01	Bd-GPL	JEL423	El Cope JEL 423	Bd-GPL	El Cope Panama	"Yes, moderate mortality"	"Yes, moderate mortality"	79.73214	450	79.73214	450	NA	terrestrial	"aquatic,tadpole"	larvae	3.33 _ 10^5 zoospore	"90 tadpoles/1,000 L, exposed as metamorphs, Control mortality 32"	Yes	32
MCB	Yes	Y	N	Y	Anaxyrus americanus.8	11	8	Anaxyrus americanusJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Anaxyrus americanus	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	"increased mortality, 100"	"increased mortality, 100"	100	40	100	40	NA	terrestrial	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	62.73
AMB	Yes	Y	N	Y	Anaxyrus boreas.4a	12a	4a	Anaxyrus boreasJEL630-JEL425	Dang et al. 2017 DAO	Y	Anaxyrus boreas	United States (Cascades Range of Oregon)	JEL630-JEL425	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	OR Bd had no effect on survival	"Maine Bd had no effect on survival, Panama Bd increased mortality by factor of 2.21 and had significantly higher loads compared to all other treatments"	39.5683453	30	60.5755396	30	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	32.95
AMB	Yes	Y	N	Y	Anaxyrus boreas.4b	12b	4b	Anaxyrus boreasJEL630-JEL646	Dang et al. 2017 DAO	Y	Anaxyrus boreas	United States (Cascades Range of Oregon)	JEL630-JEL646	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	OR Bd had no effect on survival	CA Bd increased mortality by factor of 2.5	39.5683453	30	60.28777	29	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	32.95
AMB	Yes	Y	Y	N	Bombina orientalis.7	6	7	Bombina orientalisBd-Asia1-Abercrombie R-L. booroolongensis	Fu and Waldman 2019 Molecular Ecology	N	Bombina orientalis	South Korea	Bd-Asia1-Abercrombie R-L. booroolongensis	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	low virulence/susceptibility; Bd loads stayed moderately low but infection not cleared; suggests tolerance	low virulence/susceptibility; Bd loads stayed moderately low but infection not cleared; suggests tolerance	0	15	7.692307692	13	Yes	aquatic	"aquatic, tadpole"	adult	8 x 10^5 zoospores + 10 ml UV filtered water		Yes	6.7
AMB	Yes	N	Y		Brachycephalus ephippium.9	7	9	Brachycephalus ephippiumCLFT150-CLFT156	Greenspan et al. 2019 Scientific Reports	N	Brachycephalus ephippium	Brazilian Atlantic Forest	CLFT150-CLFT156	CLFT150	Bd-Brazil		CLFT156	Bd-GPL	Brazilian Atlantic Forest	less virulent - greater survival (80)	more virulent - less survival (30)	20	9	70	9	Yes	terrestrial	direct development	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		No	0
AMB	Yes	N	Y		Brachycephalus pitanga.11	9	11	Brachycephalus pitangaCLFT001-CLFT159	McDonald PhD Thesis		Brachycephalus pitanga	Brazilian Atlantic Forest	CLFT001-CLFT159	CLFT001	Bd-Brazil	Brazilian Atlantic Forest	CLFT159	Bd-GPL	Brazilian Atlantic Forest			20	26	50	26	Yes	terrestrial	direct development	adult	3.9x10 6 zoospores		No	0
MCB	No	Y	N	N	Bufo bufo.			Bufo bufo UKTvB-TF5a1	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	UKTvB-TF5a1	UKTvB	Bd-GPL	UK	TF5a1	BdCAPE	Spain?	"Yes, moderate mortality"	"Yes, mortality, greater than CAPE"	75.7	80	48.75	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	"comparison of GPL to CAPE, high +low exposure"	Yes	32
AMB	Yes	N	Y		Bufo bufo.12a	5a	12c	Bufo bufoBd-CH-Bd-GPL	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-CH-Bd-GPL (strain name not given)	Bd-CH	Bd-CH		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected		Bd-GPL was most virulent (~60 survival)	9.9009901	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
AMB	Yes	N	Y		Bufo bufo.12b	5b	12b	Bufo bufoBd-Cape-Bd-GPL	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-Cape-Bd-GPL (strain name not given)	Bd-Cape	Bd-Cape		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected		Bd-GPL was most virulent (~60 survival)	12.4752475	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
AMB	Yes	N	Y		Bufo bufo.12c	5c	12a	Bufo bufoBd-Asia1-Bd-GPL	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-Asia1-Bd-GPL (strain name not given)	Bd-Asia1	Bd-Asia1		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected	Bd-Asia1 was least virulent (~90 survival)	Bd-GPL was most virulent (~60 survival)	7.7227723	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
MCB	Yes	N	Y		Bufo bufo.5	3	5	Bufo bufoMallorcaCAPE(multi)-SpainGPL(multi)	Farrer et al. 2011 PNAS	Y	Bufo bufo	UK	MallorcaCAPE(multi)-SpainGPL(multi)	MallorcaCAPE(multi)	BdCAPE	Mallorca	SpainGPL(multi)	Bd-GPL	Spain	"Yes (varied by isolate, overall lower than GPL);CCB1, TF5a1 and TF1.1 (Mallorca, BdCAPE lineage)"	"Yes (varied by isolate, overall higher than CAPE);Isolates used were IA042, IA043, 0711 (Pyrenees, BdGPL), VAo2, VAo4, VAo5 (Valencia, BdGPL lineage)"	19.3867458	105	65.77645895	210	No	terrestrial	"aquatic,tadpole"	"exposed as larvae, allowed to metamorphose"	"3,000–17,000 active zoospores per exposure in liquid media of Bd zoospores every 4 d for a total of eight times"	exposure as tadpole; measuring metamorph survival; All are technically not local to the UK	Yes	10.98
MCB	Yes	N	Y		Bufo bufo.6a	2a	6c	Bufo bufoTF5a1-UKTvB	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	TF5a1-UKTvB	TF5a1	BdCAPE	Mallorca	UKTvB	Bd-GPL		"Yes, moderate mortality"	"Yes, mortality, greater than CAPE"	48.75	80	75.7	80	No	terrestrial	"aquatic,tadpole"	"exposed as larvae, allowed to metamorphose"	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	exposure as tadpole; measuring metamorph survival	Yes	32
MCB	Yes	N	Y		Bufo bufo.6b	2b	6b	Bufo bufoTF5a1-IA042	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	TF5a1-IA042	TF5a1	BdCAPE	Mallorca	IA042	Bd-GPL				48.75	80	68.5	80	No	terrestrial	"aquatic,tadpole"	"exposed as larvae, allowed to metamorphose"	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	exposure as tadpole; measuring metamorph survival	Yes	32
MCB	Yes	Y	N	Y	Bufo bufo.6c	2c	6a	Bufo bufo UKTvB-IA042	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	UKTvB-IA042	UKTvB	Bd-GPL	UK	IA042	Bd-GPL	Spain	"Yes, mortality"	"Yes, mortality"	75.7	80	68.5	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	"comparison of GPL to CAPE, high +low exposure"	Yes	32
AMB	No	Y	Y	N	Bufo gargarizans.			Bufo gargarizansBd-Asia1-Abercrombie R-L. booroolongensis	Fu and Waldman 2019 Molecular Ecology	N	Bufo gargarizans	South Korea	Bd-Asia1-Abercrombie R-L. booroolongensis	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	0	16	0	14	Yes	terrestrial	"aquatic,tadpole"	adult	6-8 x 10^6 zoospores + 95 ml UV filtered	"listed as 6~8 x 10^6 zoospores, assume that means ~6-8"	No	0
AMB	Yes	N	Y		Dendropsophus minutus.9	7	9	Dendropsophus minutus BdBrazil(multi) - BdGPL(multi)	Greenspan et al. 2019 Scientific Reports	N	Dendropsophus minutus	Brazilian Atlantic Forest	"three Bd-Brazil isolates (CLFT 041, CLFT 142, CLFT 150)-three Bd-GPL isolates (CLFT -73, CLFT 131, CLFT 137)"	"three Bd-Brazil isolates (CLFT 041, CLFT 142, CLFT 150)"	Bd-Brazil		"three Bd-GPL isolates (CLFT -73, CLFT 131, CLFT 137)"	Bd-GPL	Brazilian Atlantic Forest	"moderate survival (40), low to moderate infection loads (~10^3)"	"moderate survival (47), moderate to high infection loads (10^4-10^5)"	60	30	53	30	Yes	arboreal	"aquatic, tadpole"	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		Yes	15
IDR	No	Y	N	Y	Hyla cinerea.			Hyla cinereaSRS810-JEL423	Brannelly et al. 2012 PLoS ONE	Y	Hyla cinerea	Louisiana	SRS810-JEL423	SRS810	Bd-GPL	SC	JEL423	Bd-GPL	"Guabal, Panama"	"low infection loads throughout, no symptoms of disease"	"low infection loads throughout, no symptoms of disease"	0	10	0	10	NA	arboreal	"aquatic, tadpole"	"juvenile, adult"	"SRS810 received a dose of 2.7_106 zoospores in the first inoculation, 1.6_106zoospores in the second (two days later) and 0.4_106 zoospores in the third (another two days later); JEL423 animals were inoculated with 10.7_106 zoospores in the first, 55.4_106 zoospores in the second and 10.6_106 zoospores in the third inoculation"	zoospore inoculum prepared with Holtfreter’s solution - inoculation dose depends on amount produced on the plates	no controls - discuss with group	0
AMB	No	Y	Y	N	Hyla japonica.			Hyla japonicaBd-Asia1-Abercrombie R-L. booroolongensis	Fu and Waldman 2019 Molecular Ecology	N	Hyla japonica	South Korea	Bd-Asia1-Abercrombie R-L. booroolongensis	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	0	12	0	13	Yes	arboreal	"aquatic, tadpole"	adult	6 x 10^5 + 5 ml UV filtered water		No	0
MCB	Yes	N	Y		Hymenochirus curtipes.10	8	10	Hymenochirus.BdBrazil-BdGPL	Jenkinson et al. 2018 Proc B		Hymenochirus cutipes	Captive purchase	"Serra do Japi, SP 2013; Serra da Graciosa, PR 2014-Serra dos Orgãos, RJ 2013;Serra da Graciosa, PR 2014"	"Serra do Japi, SP 2013; Serra da Graciosa, PR 2014"	Bd Brazil	Brazilian Atlantic Forest	"Serra dos Orgãos, RJ 2013;Serra da Graciosa, PR 2014"	Bd-GPL	Brazilian Atlantic Forest	"BrazilB = 0, BrazilA = 56.3"	"GPLA = 50, GPLB = 24.7"	28.15	32	37.35	32	No	aquatic	"aquatic,tadpole"	adult	5 mL exposure bath with 2.5 x 105 zoospores per mL		No	0
